Estado,Cortes,Probabilidad %
101010,6,22.08525840966967
010101,6,22.085258409669663
110110,4,3.5976561855718634
001001,4,3.5976561855718634
100100,4,3.5976561855718634
011011,4,3.597656185571861
010010,4,3.597656185571861
101101,4,3.59765618557186
100110,4,2.331680355442255
110100,4,2.331680355442254
101100,4,2.331680355442254
011001,4,2.331680355442254
001011,4,2.331680355442254
011010,4,2.331680355442253
010110,4,2.331680355442253
010011,4,2.331680355442253
100101,4,2.331680355442253
001101,4,2.331680355442253
110010,4,2.331680355442253
101001,4,2.331680355442252
101110,4,0.4606065715530976
100010,4,0.4606065715530976
010001,4,0.46060657155309714
011101,4,0.46060657155309714
010100,4,0.46060657155309714
110101,4,0.46060657155309714
111010,4,0.46060657155309714
101000,4,0.460606571553097
101011,4,0.460606571553097
010111,4,0.460606571553097
001010,4,0.460606571553097
000101,4,0.460606571553097
110011,2,0.030940380679644913
001111,2,0.030940380679644903
001100,2,0.030940380679644892
100111,2,0.030940380679644865
111100,2,0.030940380679644854
011110,2,0.030940380679644844
110000,2,0.030940380679644816
111001,2,0.030940380679644792
011000,2,0.030940380679644792
000110,2,0.03094038067964478
100001,2,0.030940380679644743
000011,2,0.030940380679644733
100011,2,0.029470106441558112
001110,2,0.02947010644155808
110001,2,0.029470106441558064
011100,2,0.029470106441558043
111000,2,0.029470106441558005
000111,2,0.029470106441557994
111101,2,0.015652492354592394
000100,2,0.01565249235459237
000010,2,0.01565249235459237
010000,2,0.01565249235459231
101111,2,0.015652492354592304
111011,2,0.015652492354592297
111110,2,0.01565249235459229
100000,2,0.015652492354592273
000001,2,0.015652492354592273
011111,2,0.015652492354592273
110111,2,0.01565249235459227
001000,2,0.01565249235459227
000000,0,8.391411253958121e-05
111111,0,8.39141125395762e-05
