Estado,Cortes,Probabilidad %
010101,6,16.52940553267002
101010,6,16.529405532670012
110110,4,3.2819823296393555
001001,4,3.2819823296393533
100100,4,3.2819823296393533
101101,4,3.2819823296393524
011011,4,3.281982329639351
010010,4,3.281982329639351
011001,4,2.9457396328150587
100101,4,2.9457396328150587
110100,4,2.945739632815058
101001,4,2.945739632815058
100110,4,2.945739632815058
001101,4,2.945739632815058
001011,4,2.9457396328150565
011010,4,2.9457396328150565
110010,4,2.9457396328150565
010110,4,2.9457396328150565
101100,4,2.945739632815056
010011,4,2.945739632815056
010100,4,0.6843121170679928
110101,4,0.6843121170679928
101011,4,0.6843121170679924
100010,4,0.6843121170679924
101000,4,0.6843121170679924
101110,4,0.6843121170679924
001010,4,0.6843121170679924
000101,4,0.6843121170679924
111010,4,0.6843121170679924
011101,4,0.6843121170679924
010001,4,0.684312117067992
010111,4,0.684312117067992
101111,2,0.2425471999923933
110111,2,0.2425471999923933
100000,2,0.2425471999923933
111101,2,0.2425471999923933
111110,2,0.2425471999923933
011111,2,0.24254719999239321
001000,2,0.24254719999239321
111011,2,0.24254719999239321
000001,2,0.24254719999239316
000010,2,0.24254719999239316
000100,2,0.24254719999239308
010000,2,0.24254719999239305
001110,2,0.07271443198276986
011100,2,0.07271443198276976
111000,2,0.07271443198276975
000111,2,0.07271443198276968
100011,2,0.07271443198276965
110001,2,0.07271443198276964
001111,2,0.02618747079519546
100001,2,0.02618747079519545
110000,2,0.02618747079519545
011110,2,0.02618747079519545
001100,2,0.026187470795195417
011000,2,0.026187470795195417
100111,2,0.026187470795195417
111100,2,0.026187470795195407
000110,2,0.02618747079519538
000011,2,0.026187470795195355
111001,2,0.026187470795195355
110011,2,0.026187470795195282
000000,0,0.013785658439735279
111111,0,0.013785658439735246
