Bitstring,Cortes,Probabilidad %,Es Óptimo
010101,6,17.561353041417902,SÍ
101010,6,17.561353041417902,SÍ
001011,4,2.9857446661238307,No
101001,4,2.9857446661238307,No
010011,4,2.9857446661238307,No
101100,4,2.9857446661238307,No
001101,4,2.9857446661238294,No
011001,4,2.9857446661238294,No
010110,4,2.9857446661238294,No
110010,4,2.9857446661238294,No
110100,4,2.9857446661238294,No
100101,4,2.9857446661238294,No
100110,4,2.985744666123829,No
011010,4,2.985744666123829,No
001001,4,2.9563206827320094,No
101101,4,2.956320682732008,No
011011,4,2.956320682732008,No
010010,4,2.956320682732008,No
100100,4,2.956320682732007,No
110110,4,2.9563206827320063,No
010111,4,0.74154670675778,No
101000,4,0.74154670675778,No
010100,4,0.7415467067577798,No
010001,4,0.7415467067577796,No
101110,4,0.7415467067577796,No
100010,4,0.7415467067577793,No
101011,4,0.7415467067577793,No
001010,4,0.7415467067577793,No
000101,4,0.7415467067577793,No
011101,4,0.7415467067577791,No
110101,4,0.7415467067577791,No
111010,4,0.7415467067577791,No
011111,2,0.14457040180823258,No
101111,2,0.1445704018082325,No
010000,2,0.14457040180823227,No
100000,2,0.14457040180823222,No
001000,2,0.14457040180823216,No
000001,2,0.14457040180823216,No
000100,2,0.1445704018082321,No
111011,2,0.1445704018082321,No
110111,2,0.144570401808232,No
111110,2,0.14457040180823197,No
000010,2,0.14457040180823189,No
111101,2,0.14457040180823189,No
000011,2,0.04398096249795725,No
100111,2,0.043980962497957236,No
111100,2,0.043980962497957195,No
011110,2,0.043980962497957174,No
011000,2,0.04398096249795716,No
110000,2,0.04398096249795716,No
000110,2,0.04398096249795716,No
111001,2,0.04398096249795716,No
001111,2,0.04398096249795715,No
001100,2,0.04398096249795715,No
110011,2,0.04398096249795713,No
100001,2,0.04398096249795706,No
111000,2,0.02124859244548951,No
001110,2,0.021248592445489475,No
110001,2,0.02124859244548945,No
000111,2,0.021248592445489444,No
011100,2,0.021248592445489437,No
100011,2,0.021248592445489375,No
111111,0,0.010882709922769138,No
000000,0,0.010882709922769065,No
